    r     rho_a(r)         V(r)  F(rho_a(r))
4.116   0.00271585  -0.00841846   -0.0108046
 4.11   0.00275584  -0.00842374   -0.0109638
4.104   0.00279621  -0.00842682   -0.0111245
4.098   0.00283695  -0.00842788   -0.0112867
4.092   0.00287804   -0.0084271   -0.0114503
4.086   0.00291949  -0.00842466   -0.0116153
 4.08   0.00296128  -0.00842075   -0.0117816
4.074   0.00300339  -0.00841555   -0.0119493
4.068   0.00304582  -0.00840926   -0.0121182
4.062   0.00308855  -0.00840205   -0.0122883
4.056   0.00313158  -0.00839412   -0.0124596
 4.05    0.0031749  -0.00838574   -0.0126321
4.044   0.00321848  -0.00837721   -0.0128056
4.038   0.00326233  -0.00836884   -0.0129802
4.032   0.00330642  -0.00836093   -0.0131558
4.026   0.00335075  -0.00835379   -0.0133323
 4.02    0.0033953  -0.00834774   -0.0135097
4.014   0.00344007  -0.00834307    -0.013688
4.008   0.00348503   -0.0083401    -0.013867
4.002   0.00353018  -0.00833912   -0.0140469
3.996    0.0035755  -0.00834046   -0.0142274
 3.99   0.00362099  -0.00834441   -0.0144085
3.984   0.00366663  -0.00835128   -0.0145903
3.978   0.00371241  -0.00836138   -0.0147727
3.972   0.00375832  -0.00837501   -0.0149555
3.966   0.00380434  -0.00839249   -0.0151388
 3.96   0.00385046  -0.00841411   -0.0153226
3.954   0.00389668   -0.0084402   -0.0155067
3.948   0.00394297  -0.00847104   -0.0156911
3.942   0.00398933  -0.00850696   -0.0158758
3.936   0.00403575  -0.00854825   -0.0160607
 3.93   0.00408221  -0.00859523   -0.0162458
3.924    0.0041287   -0.0086482    -0.016431
3.918    0.0041752  -0.00870747   -0.0166164
3.912   0.00422172  -0.00877334   -0.0168017
3.906   0.00426823  -0.00884613    -0.016987
  3.9   0.00431472  -0.00892613   -0.0171723
3.894   0.00436121  -0.00901358   -0.0173576
3.888   0.00440775  -0.00910857   -0.0175431
3.882    0.0044544  -0.00921118    -0.017729
3.876   0.00450122   -0.0093215   -0.0179156
 3.87   0.00454827  -0.00943961   -0.0181032
3.864   0.00459561   -0.0095656   -0.0182919
3.858    0.0046433  -0.00969955    -0.018482
3.852   0.00469138  -0.00984155   -0.0186737
3.846   0.00473994  -0.00999167   -0.0188672
 3.84   0.00478901     -0.01015   -0.0190629
3.834   0.00483867   -0.0103167   -0.0192609
3.828   0.00488897   -0.0104917   -0.0194614
3.822   0.00493997   -0.0106752   -0.0196648
3.816   0.00499172   -0.0108672   -0.0198712
 3.81   0.00504429   -0.0110679   -0.0200808
3.804   0.00509774   -0.0112773    -0.020294
3.798   0.00515213   -0.0114955   -0.0205109
3.792   0.00520751   -0.0117226   -0.0207318
3.786   0.00526394   -0.0119586   -0.0209569
 3.78   0.00532148   -0.0122037   -0.0211864
3.774   0.00538019    -0.012458   -0.0214206
3.768   0.00544013   -0.0127215   -0.0216598
3.762   0.00550136   -0.0129943   -0.0219041
3.756   0.00556394   -0.0132765   -0.0221538
 3.75   0.00562792   -0.0135681   -0.0224091
3.744   0.00569337   -0.0138693   -0.0226703
