    r     rho_a(r)         V(r)  F(rho_a(r))
4.308  3.31426e-05  0.000841136   -0.0639887
4.302  3.37309e-05  0.000859451   -0.0650091
4.296  3.43293e-05  0.000878163   -0.0660407
 4.29  3.49379e-05  0.000897283   -0.0670834
4.284  3.55569e-05  0.000916819   -0.0681371
4.278  3.61865e-05  0.000936779   -0.0692014
4.272  3.68269e-05  0.000957174   -0.0702763
4.266  3.74782e-05  0.000978012   -0.0713615
 4.26  3.81406e-05  0.000999303   -0.0724566
4.254  3.88144e-05   0.00102106   -0.0735615
4.248  3.94996e-05   0.00104328   -0.0746758
4.242  4.01965e-05     0.001066   -0.0757992
4.236  4.09053e-05    0.0010892   -0.0769312
 4.23  4.16261e-05   0.00111291   -0.0780715
4.224  4.23592e-05   0.00113713   -0.0792196
4.218  4.31047e-05   0.00116188    -0.080375
4.212  4.38629e-05   0.00118717   -0.0815372
4.206  4.46339e-05   0.00121301   -0.0827056
  4.2   4.5418e-05   0.00123941   -0.0838797
4.194  4.62154e-05   0.00126639   -0.0850586
4.188  4.70263e-05   0.00129395   -0.0862418
4.182  4.78509e-05   0.00132211   -0.0874285
4.176  4.86894e-05   0.00135088   -0.0886177
 4.17  4.95421e-05   0.00138028   -0.0898088
4.164  5.04092e-05   0.00141032   -0.0910007
4.158  5.12909e-05   0.00144101   -0.0921924
4.152  5.21875e-05   0.00147237   -0.0933828
4.146  5.30991e-05    0.0015044   -0.0945709
 4.14  5.40261e-05   0.00153714   -0.0957561
4.134  5.49687e-05   0.00157059   -0.0969385
4.128  5.59271e-05   0.00160476   -0.0981181
4.122  5.69016e-05   0.00163968   -0.0992948
4.116  5.78925e-05   0.00167535    -0.100469
 4.11  5.88999e-05    0.0017118    -0.101641
4.104  5.99243e-05   0.00174905     -0.10281
4.098  6.09658e-05    0.0017871    -0.103977
4.092  6.20247e-05   0.00182598    -0.105143
4.086  6.31012e-05    0.0018657    -0.106308
 4.08  6.41958e-05   0.00190629    -0.107473
4.074  6.53087e-05   0.00194776    -0.108637
4.068    6.644e-05   0.00199013    -0.109802
4.062  6.75903e-05   0.00203342    -0.110969
4.056  6.87597e-05   0.00207765    -0.112139
 4.05  6.99485e-05   0.00212284    -0.113312
4.044  7.11571e-05   0.00216902    -0.114491
4.038  7.23858e-05    0.0022162    -0.115675
