#	T	rho	calc	hoef:
   0.600    0.974   -0.71745493   -0.35501295
   0.600    0.975   -0.68538918   -0.32522298
   0.600    0.976   -0.65307054   -0.29514709
   0.600    0.977   -0.62049669   -0.26478404
   0.600    0.978   -0.58759613   -0.23413259
   0.600    0.979   -0.55443580   -0.20319152
   0.600    0.980   -0.52101248   -0.17195958
   0.600    0.981   -0.48725772   -0.14043554
   0.600    0.982   -0.45325515   -0.10861814
   0.600    0.983   -0.41899884   -0.07650615
   0.600    0.984   -0.38440148   -0.04409830
   0.600    0.985   -0.34953856   -0.01139336
   0.600    0.986   -0.31441313    0.02160993
   0.600    0.987   -0.27894574    0.05491283
   0.600    0.988   -0.24320720    0.08851660
   0.600    0.989   -0.20717849    0.12242249
   0.600    0.990   -0.17085499    0.15663177
   0.600    0.991   -0.13425177    0.19114571
   0.600    0.992   -0.09729474    0.22596558
   0.600    0.993   -0.06007968    0.26109263
   0.600    0.994   -0.02259885    0.29652816
   0.600    0.995    0.01524131    0.33227343
   0.600    0.996    0.05334675    0.36832973
   0.600    0.997    0.09172221    0.40469832
   0.600    0.998    0.13046858    0.44138051
   0.600    0.999    0.16949485    0.47837756
   0.600    1.000    0.20878908    0.51569077
   0.600    1.001    0.24845147    0.55332143
   0.600    1.002    0.28841312    0.59127083
   0.600    1.003    0.32865610    0.62954027
   0.600    1.004    0.36926433    0.66813104
   0.600    1.005    0.41016161    0.70704444
   0.600    1.006    0.45133889    0.74628179
   0.600    1.007    0.49287509    0.78584437
   0.600    1.008    0.53469683    0.82573351
   0.600    1.009    0.57681645    0.86595050
   0.600    1.010    0.61931220    0.90649667
   0.600    1.011    0.66210032    0.94737332
   0.600    1.012    0.70519210    0.98858178
   0.600    1.013    0.74866675    1.03012336
   0.600    1.014    0.79242921    1.07199939
   0.600    1.015    0.83649480    1.11421119
   0.600    1.016    0.88095248    1.15676008
   0.600    1.017    0.92570281    1.19964740
   0.600    1.018    0.97075472    1.24287449
   0.600    1.019    1.01620182    1.28644267
   0.600    1.020    1.06194208    1.33035328
   0.600    1.021    1.10798259    1.37460766
   0.600    1.022    1.15443027    1.41920715
   0.600    1.023    1.20118503    1.46415310
   0.600    1.024    1.24824526    1.50944686
   0.600    1.025    1.29570762    1.55508977
   0.600    1.026    1.34347649    1.60108318
   0.600    1.027    1.39156107    1.64742846
   0.600    1.028    1.44006130    1.69412695
   0.600    1.029    1.48887701    1.74118003
   0.600    1.030    1.53800445    1.78858903
   0.600    1.031    1.58750629    1.83635535
   0.600    1.032    1.63738734    1.88448033
   0.600    1.033    1.68759199    1.93296535
   0.600    1.034    1.73811893    1.98181178
   0.600    1.035    1.78906479    2.03102100
   0.600    1.036    1.84032720    2.08059438
   0.600    1.037    1.89190862    2.13053330
   0.600    1.038    1.94391850    2.18083914
   0.600    1.039    1.99625959    2.23151329
   0.600    1.040    2.04893392    2.28255713
   0.600    1.041    2.10204098    2.33397206
   0.600    1.042    2.15546958    2.38575946
   0.600    1.043    2.20922573    2.43792074
   0.600    1.044    2.26342673    2.49045727
   0.600    1.045    2.31795725    2.54337048
   0.600    1.046    2.37282025    2.59666175
   0.600    1.047    2.42812806    2.65033249
   0.600    1.048    2.48376280    2.70438411
   0.600    1.049    2.53973649    2.75881801
   0.600    1.050    2.59616785    2.81363562
   0.600    1.051    2.65293455    2.86883834
   0.600    1.052    2.71003972    2.92442758
   0.600    1.053    2.76756693    2.98040478
   0.600    1.054    2.82551474    3.03677135
   0.600    1.055    2.88380695    3.09352871
   0.600    1.056    2.94244307    3.15067830
   0.600    1.057    3.00154218    3.20822154
   0.600    1.058    3.06098552    3.26615986
   0.600    1.059    3.12077939    3.32449469
   0.600    1.060    3.18104797    3.38322749
   0.600    1.061    3.24166074    3.44235967
   0.600    1.062    3.30262133    3.50189269
   0.600    1.063    3.36406128    3.56182799
   0.600    1.064    3.42585796    3.62216702
   0.600    1.065    3.48801238    3.68291123
   0.600    1.066    3.55060678    3.74406206
   0.600    1.067    3.61363928    3.80562098
   0.600    1.068    3.67703121    3.86758943
   0.600    1.069    3.74078562    3.92996889
   0.600    1.070    3.80503206    3.99276080
   0.600    1.071    3.86963469    4.05596664
   0.600    1.072    3.93459619    4.11958788
   0.600    1.073    4.00006179    4.18362598
   0.600    1.074    4.06589669    4.24808241
   0.600    1.075    4.13209741    4.31295865
   0.600    1.076    4.19875900    4.37825618
   0.600    1.077    4.26587435    4.44397648
   0.600    1.078    4.33335456    4.51012102
   0.600    1.079    4.40120743    4.57669130
   0.600    1.080    4.46957283    4.64368880
   0.600    1.081    4.53831329    4.71111501
   0.600    1.082    4.60743006    4.77897142
   0.600    1.083    4.67706481    4.84725953
   0.600    1.084    4.74707544    4.91598084
